SlidesLive link,Title,unique ID,Organizer track name,SlidesLive link,embed code
slideslive.com/38930992,Selfish Robustness and Equilibria in Multi-Player Bandits,64,Long (15 minutes),38930992,"<div id=""presentation-embed-38930992""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38930992', {
        presentationId: '38930992',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38930993,How Good is SGD with Random Shuffling?,65,Long (15 minutes),38930993,"<div id=""presentation-embed-38930993""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38930993', {
        presentationId: '38930993',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38930994,Exploration by Optimisation in Partial Monitoring,66,Long (15 minutes),38930994,"<div id=""presentation-embed-38930994""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38930994', {
        presentationId: '38930994',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38930995,Extending Learnability to Auxiliary-Input Cryptographic Primitives and Meta-PAC Learning,68,Long (15 minutes),38930995,"<div id=""presentation-embed-38930995""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38930995', {
        presentationId: '38930995',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38930996,"Noise-tolerant, Reliable Active Classification with Comparison Queries",76,Long (15 minutes),38930996,"<div id=""presentation-embed-38930996""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38930996', {
        presentationId: '38930996',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38930997,Sharper Bounds for Uniformly Stable Algorithms,79,Long (15 minutes),38930997,"<div id=""presentation-embed-38930997""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38930997', {
        presentationId: '38930997',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38930998,Optimality and Approximation with Policy Gradient Methods in Markov Decision Processes,80,Long (15 minutes),38930998,"<div id=""presentation-embed-38930998""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38930998', {
        presentationId: '38930998',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38930999,Consistent recovery threshold of hidden nearest neighbor graphs,82,Long (15 minutes),38930999,"<div id=""presentation-embed-38930999""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38930999', {
        presentationId: '38930999',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931000,High probability guarantees for stochastic convex optimization,86,Long (15 minutes),38931000,"<div id=""presentation-embed-38931000""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931000', {
        presentationId: '38931000',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931001,Information Directed Sampling for Linear Partial Monitoring,89,Long (15 minutes),38931001,"<div id=""presentation-embed-38931001""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931001', {
        presentationId: '38931001',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931002,ID3 Learns Juntas for Smoothed Product Distributions,91,Long (15 minutes),38931002,"<div id=""presentation-embed-38931002""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931002', {
        presentationId: '38931002',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931003,Tight Lower Bounds for Combinatorial Multi-Armed Bandits,93,Long (15 minutes),38931003,"<div id=""presentation-embed-38931003""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931003', {
        presentationId: '38931003',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931004,Domain Compression and its Application to Randomness-Optimal Distributed Goodness-of-Fit,96,Long (15 minutes),38931004,"<div id=""presentation-embed-38931004""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931004', {
        presentationId: '38931004',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931005,Reasoning About Generalization via Conditional Mutual Information,98,Long (15 minutes),38931005,"<div id=""presentation-embed-38931005""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931005', {
        presentationId: '38931005',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931006,A Greedy Anytime Algorithm for Sparse PCA,100,Long (15 minutes),38931006,"<div id=""presentation-embed-38931006""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931006', {
        presentationId: '38931006',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931007,Logsmooth Gradient Concentration and Tighter Runtimes for Metropolized Hamiltonian Monte Carlo,101,Long (15 minutes),38931007,"<div id=""presentation-embed-38931007""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931007', {
        presentationId: '38931007',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931008,Provably Efficient Reinforcement Learning with Linear Function Approximation,106,Long (15 minutes),38931008,"<div id=""presentation-embed-38931008""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931008', {
        presentationId: '38931008',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
